iter	Passed	Remaining
890	1606	196
891	1607	194
892	1608	192
893	1610	190
894	1613	189
895	1615	187
896	1616	185
897	1617	183
898	1619	182
899	1621	180
900	1623	178
901	1624	176
902	1627	174
903	1629	173
904	1631	171
905	1634	169
906	1635	167
907	1637	165
908	1638	164
909	1640	162
910	1642	160
911	1644	158
912	1645	156
913	1648	155
914	1651	153
915	1655	151
916	1657	150
917	1659	148
918	1661	146
919	1662	144
920	1663	142
921	1665	140
922	1666	139
923	1668	137
924	1670	135
925	1672	133
926	1674	131
927	1675	130
928	1676	128
929	1678	126
930	1679	124
931	1680	122
932	1682	120
933	1683	118
934	1685	117
935	1686	115
936	1688	113
937	1690	111
938	1692	109
939	1693	108
940	1694	106
941	1695	104
942	1697	102
943	1699	100
944	1700	98
945	1704	97
946	1705	95
947	1707	93
948	1711	91
949	1715	90
950	1723	88
951	1730	87
952	1733	85
953	1735	83
954	1737	81
955	1739	80
956	1740	78
957	1741	76
958	1743	74
959	1745	72
960	1747	70
961	1748	69
962	1752	67
963	1755	65
964	1756	63
965	1758	61
966	1760	60
967	1761	58
968	1763	56
969	1764	54
970	1766	52
971	1767	50
972	1768	49
973	1770	47
974	1772	45
975	1774	43
976	1775	41
977	1776	39
978	1778	38
979	1780	36
980	1781	34
981	1783	32
982	1785	30
983	1786	29
984	1788	27
985	1790	25
986	1791	23
987	1792	21
988	1794	19
989	1796	18
990	1798	16
991	1799	14
992	1800	12
993	1802	10
994	1804	9
995	1805	7
996	1807	5
997	1808	3
998	1811	1
999	1813	0
